# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
gteikob2@@uniwars@@uniwars@@Gingateikoku No Gyakushu (bootleg set 2)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
spacbatt@@uniwars@@uniwars@@Space Battle|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
skyraidr@@uniwars@@uniwars@@Sky Raiders|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
batman2@@phoenix@@phoenix@@Batman Part 2|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
warofbug@@-@@-@@War of the Bugs or Monsterous Manouvers in a Mushroom Maze|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Armenia|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
redufo@@-@@-@@Defend the Terra Attack on the Red UFO|NOID|NOCRC|x|0||No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
exodus@@redufo@@redufo@@Exodus (bootleg?)|NOID|NOCRC|x|0||No Genre|region-unknown|Subelectro|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
streakng@@-@@-@@Streaking|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Shoei|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
pacmanbl@@puckman@@puckman@@Pac-Man (Galaxian hardware)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
devilfsg@@devilfsh@@devilfsh@@Devil Fish (Galaxian hardware, bootleg?)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Vision / Artic|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
zigzag@@-@@-@@Zig Zag (Galaxian hardware, set 1)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|LAX|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
zigzag2@@zigzag@@zigzag@@Zig Zag (Galaxian hardware, set 2)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|LAX|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
jumpbug@@-@@-@@Jump Bug|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Rock-ola|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
jumpbugb@@jumpbug@@jumpbug@@Jump Bug (bootleg)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
levers@@-@@-@@Levers|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Rock-ola|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
azurian@@-@@-@@Azurian Attack|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Rait Electronics Ltd|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
orbitron@@-@@-@@Orbitron|NOID|NOCRC|x|0||No Genre|region-unknown|Signatron USA|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrgx@@mooncrst@@mooncrst@@Moon Cresta (Galaxian hardware)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrst@@-@@-@@Moon Cresta (Nichibutsu)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrsu@@mooncrst@@mooncrst@@Moon Cresta (Nichibutsu, unencrypted)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu USA|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrsa@@mooncrst@@mooncrst@@Moon Cresta (Nichibutsu, old rev)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nichibutsu|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
mooncrsg@@mooncrst@@mooncrst@@Moon Cresta (Gremlin)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Gremlin|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
