# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
kinst@@-@@-@@Killer Instinct (v1.5d)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinst14@@kinst@@kinst@@Killer Instinct (v1.4)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinst13@@kinst@@kinst@@Killer Instinct (v1.3)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinstp@@kinst@@kinst@@Killer Instinct (proto v4.7)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinst2@@-@@-@@Killer Instinct 2 (v1.4)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinst2k@@kinst2@@kinst2@@Killer Instinct 2 (v1.4k, upgrade kit)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinst213@@kinst2@@kinst2@@Killer Instinct 2 (v1.3)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinst211@@kinst2@@kinst2@@Killer Instinct 2 (v1.1)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
kinst210@@kinst2@@kinst2@@Killer Instinct 2 (v1.0)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Rare|dev-unknown|No Rating|media-unknown|input-unknown|kinst
gigasb@@-@@-@@Gigas (bootleg)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|freekick
gigasm2b@@-@@-@@Gigas Mark II (bootleg)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|freekick
oigas@@gigasb@@gigasb@@Oigas (bootleg)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|freekick
pbillrd@@-@@-@@Perfect Billiard|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Nihon System|dev-unknown|No Rating|media-unknown|input-unknown|freekick
pbillrds@@pbillrd@@pbillrd@@Perfect Billiard (Sega)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Nihon System|dev-unknown|No Rating|media-unknown|input-unknown|freekick
freekick@@-@@-@@Free Kick|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Nihon System (Sega license)|dev-unknown|No Rating|media-unknown|input-unknown|freekick
freekckb@@freekick@@freekick@@Free Kick (bootleg)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|freekick
countrun@@-@@-@@Counter Run|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Nihon System (Sega license)|dev-unknown|No Rating|media-unknown|input-unknown|freekick
countrnb@@countrun@@countrun@@Counter Run (bootleg set 1)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|freekick
countrb2@@countrun@@countrun@@Counter Run (bootleg set 2)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|freekick
rmhaihai@@-@@-@@Real Mahjong Haihai (Japan)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Alba|dev-unknown|No Rating|media-unknown|input-unknown|rmhaihai
rmhaihib@@rmhaihai@@rmhaihai@@Real Mahjong Haihai [BET] (Japan)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Alba|dev-unknown|No Rating|media-unknown|input-unknown|rmhaihai
rmhaijin@@-@@-@@Real Mahjong Haihai Jinji Idou Hen (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Alba|dev-unknown|No Rating|media-unknown|input-unknown|rmhaihai
rmhaisei@@-@@-@@Real Mahjong Haihai Seichouhen (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Visco|dev-unknown|No Rating|media-unknown|input-unknown|rmhaihai
themj@@-@@-@@The Mah-jong (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Visco|dev-unknown|No Rating|media-unknown|input-unknown|rmhaihai
hanaroku@@-@@-@@Hanaroku|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Alba|dev-unknown|No Rating|media-unknown|input-unknown|hanaroku
yumefuda@@-@@-@@(Medal) Yumefuda [BET]|NOID|NOCRC|x|0||No Genre|region-unknown|Alba|dev-unknown|No Rating|media-unknown|input-unknown|yumefuda
hourouki@@-@@-@@Mahjong Hourouki Part 1 - Seisyun Hen (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mhgaiden@@-@@-@@Mahjong Hourouki Gaiden (Japan)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mjhokite@@-@@-@@Mahjong Hourouki Okite (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mjclinic@@-@@-@@Mahjong Clinic (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mrokumei@@-@@-@@Mahjong Rokumeikan (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
reikaids@@-@@-@@Reikai Doushi (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mjkojink@@-@@-@@Mahjong Kojinkyouju (Private Teacher) (Japan)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
vitaminc@@-@@-@@Mahjong Vitamin C (Japan)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mjyougo@@-@@-@@Mahjong-yougo no Kisotairyoku (Japan)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
lemnangl@@-@@-@@Mahjong Lemon Angel (Japan)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mjkinjas@@-@@-@@Mahjong Kinjirareta Asobi (Japan)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
battlcry@@-@@-@@Battlecry|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Home Data|dev-unknown|No Rating|media-unknown|input-unknown|homedata
jogakuen@@-@@-@@Mahjong Jogakuen (Japan)|NOID|NOCRC|x|0||No Genre|region-unknown|Windom|dev-unknown|No Rating|media-unknown|input-unknown|homedata
mjikaga@@-@@-@@Mahjong Ikaga Desu ka (Japan)|NOID|NOCRC|x|0||No Genre|region-unknown|Mitchell|dev-unknown|No Rating|media-unknown|input-unknown|homedata
ultennis@@-@@-@@Ultimate Tennis|NOID|NOCRC|x|0|1993|No Genre|region-unknown|Art & Magic|dev-unknown|No Rating|media-unknown|input-unknown|artmagic
cheesech@@-@@-@@Cheese Chase|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Art & Magic|dev-unknown|No Rating|media-unknown|input-unknown|artmagic
stonebal@@-@@-@@Stone Ball (4 Players)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Art & Magic|dev-unknown|No Rating|media-unknown|input-unknown|artmagic
stoneba2@@stonebal@@stonebal@@Stone Ball (2 Players)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Art & Magic|dev-unknown|No Rating|media-unknown|input-unknown|artmagic
dynamski@@-@@-@@Dynamic Ski|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Taiyo|dev-unknown|No Rating|media-unknown|input-unknown|shangkid
chinhero@@-@@-@@Chinese Hero|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Taiyo|dev-unknown|No Rating|media-unknown|input-unknown|shangkid
chinher2@@chinhero@@chinhero@@Chinese Hero (older)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Taiyo|dev-unknown|No Rating|media-unknown|input-unknown|shangkid
shangkid@@-@@-@@Shanghai Kid|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Taiyo (Data East license)|dev-unknown|No Rating|media-unknown|input-unknown|shangkid
hiryuken@@shangkid@@shangkid@@Hokuha Syourin Hiryu no Ken|NOID|NOCRC|x|0|1985|No Genre|region-unknown|[Nihon Game] (Taito license)|dev-unknown|No Rating|media-unknown|input-unknown|shangkid
lockon@@-@@-@@Lock-On|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Tatsumi|dev-unknown|No Rating|media-unknown|input-unknown|lockon
apache3@@-@@-@@Apache 3|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Tatsumi|dev-unknown|No Rating|media-unknown|input-unknown|tatsumi
roundup5@@-@@-@@Round Up 5 - Super Delta Force|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Tatsumi|dev-unknown|No Rating|media-unknown|input-unknown|tatsumi
cyclwarr@@-@@-@@Cycle Warriors|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Tatsumi|dev-unknown|No Rating|media-unknown|input-unknown|tatsumi
mugsmash@@-@@-@@Mug Smashers|NOID|NOCRC|x|0||No Genre|region-unknown|Electronic Devices Italy / 3D Games England|dev-unknown|No Rating|media-unknown|input-unknown|mugsmash
stlforce@@-@@-@@Steel Force|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Electronic Devices Italy / Ecogames S.L. Spain|dev-unknown|No Rating|media-unknown|input-unknown|stlforce
fantland@@-@@-@@Fantasy Land (set 1)|NOID|NOCRC|x|0||No Genre|region-unknown|Electronic Devices Italy|dev-unknown|No Rating|media-unknown|input-unknown|fantland
fantlnda@@fantland@@fantland@@Fantasy Land (set 2)|NOID|NOCRC|x|0||No Genre|region-unknown|Electronic Devices Italy|dev-unknown|No Rating|media-unknown|input-unknown|fantland
galaxygn@@-@@-@@Galaxy Gunners|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Electronic Devices Italy|dev-unknown|No Rating|media-unknown|input-unknown|fantland
borntofi@@-@@-@@Born To Fight|NOID|NOCRC|x|0||No Genre|region-unknown|International Games|dev-unknown|No Rating|media-unknown|input-unknown|fantland
diverboy@@-@@-@@Diver Boy|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Electronic Devices Italy|dev-unknown|No Rating|media-unknown|input-unknown|diverboy
twinbrat@@-@@-@@Twin Brats|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Elettronica Video-Games S.R.L.|dev-unknown|No Rating|media-unknown|input-unknown|stlforce
ppmast93@@-@@-@@Ping Pong Masters '93|NOID|NOCRC|x|0|1993|No Genre|region-unknown|Electronic Devices S.R.L.|dev-unknown|No Rating|media-unknown|input-unknown|ppmast93
twins@@-@@-@@Twins|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Electronic Devices|dev-unknown|No Rating|media-unknown|input-unknown|twins
mwarr@@-@@-@@Mighty Warriors|NOID|NOCRC|x|0||No Genre|region-unknown|Elettronica Video-Games S.R.L.|dev-unknown|No Rating|media-unknown|input-unknown|mwarr
ar_airh@@-@@ar_bios@@SportTime Table Hockey (Arcadia, V 2.1)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_bowl@@-@@ar_bios@@SportTime Bowling (Arcadia, V 2.1)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_dart@@-@@ar_bios@@World Darts (Arcadia, V 2.1)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_fast@@-@@ar_bios@@Magic Johnson's Fast Break (Arcadia, V 2.8)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_ldrb@@-@@ar_bios@@Leader Board (Arcadia, V 2.4?)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_ldrba@@ar_ldrb@@ar_ldrb@@Leader Board (Arcadia, V 2.5)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_ninj@@-@@ar_bios@@Ninja Mission (Arcadia, V 2.5)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_rdwr@@-@@ar_bios@@RoadWars (Arcadia, V 2.3)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_sdwr@@-@@ar_bios@@Sidewinder (Arcadia, V 2.1)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_socc@@-@@ar_bios@@World Trophy Soccer (Arcadia, V 3.0)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_spot@@-@@ar_bios@@Spot (Arcadia)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_sprg@@-@@ar_bios@@Space Ranger (Arcadia, V 2.0)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
ar_xeon@@-@@ar_bios@@Xenon (Arcadia, V 2.3)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Arcadia Systems|dev-unknown|No Rating|media-unknown|input-unknown|arcadia
mquake@@-@@-@@Moonquake|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sente|dev-unknown|No Rating|media-unknown|input-unknown|mquake
upscope@@-@@-@@Up Scope|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Grand Products|dev-unknown|No Rating|media-unknown|input-unknown|upscope
crysking@@-@@crysbios@@The Crystal of Kings|NOID|NOCRC|x|0|2001|No Genre|region-unknown|Brezzasoft|dev-unknown|No Rating|media-unknown|input-unknown|crystal
evosocc@@-@@crysbios@@Evolution Soccer|NOID|NOCRC|x|0|2001|No Genre|region-unknown|Evoga|dev-unknown|No Rating|media-unknown|input-unknown|crystal
qntoondo@@qntoond@@qntoond@@Quintoon (Dutch, Game Card 95-750-136)|NOID|NOCRC|x|0|1993|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
quintoon@@-@@-@@Quintoon (UK, Game Card 95-750-203)|NOID|NOCRC|x|0|1993|No Genre|region-unknown|BFM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
qntoond@@-@@-@@Quintoon (Dutch, Game Card 95-750-243)|NOID|NOCRC|x|0|1993|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
pokio@@-@@-@@Pokio (Dutch, Game Card 95-750-278)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
slotsnl@@-@@-@@Slots (Dutch, Game Card 95-750-368)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
paradice@@-@@-@@Paradice (Dutch, Game Card 95-750-615)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
pyramid@@-@@-@@Pyramid (Dutch, Game Card 95-750-898)|NOID|NOCRC|x|0|1996|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
sltblgtk@@-@@-@@Slots (Belgian Token, Game Card 95-750-943)|NOID|NOCRC|x|0|1996|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
sltblgpo@@-@@-@@Slots (Belgian Cash, Game Card 95-750-938)|NOID|NOCRC|x|0|1996|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
sltblgp1@@sltblgpo@@sltblgpo@@Slots (Belgian Cash, Game Card 95-752-008)|NOID|NOCRC|x|0|1996|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
gldncrwn@@-@@-@@Golden Crown (Dutch, Game Card 95-752-011)|NOID|NOCRC|x|0|1997|No Genre|region-unknown|BFM/ELAM|dev-unknown|No Rating|media-unknown|input-unknown|bfm_sc2
crmaze@@-@@bctvidbs@@The Crystal Maze: Team Challenge (SWP)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Barcrest|dev-unknown|No Rating|media-unknown|input-unknown|mpu4
crmazea@@crmaze@@crmaze@@The Crystal Maze (AMLD version SWP)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Barcrest|dev-unknown|No Rating|media-unknown|input-unknown|mpu4
crmazeb@@crmaze@@crmaze@@The Crystal Maze - Now Featuring Ocean Zone (AMLD Version SWP)|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Barcrest|dev-unknown|No Rating|media-unknown|input-unknown|mpu4
turnover@@-@@bctvidbs@@Turnover|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Barcrest|dev-unknown|No Rating|media-unknown|input-unknown|mpu4
skiltrek@@-@@bctvidbs@@Skill Trek|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Barcrest|dev-unknown|No Rating|media-unknown|input-unknown|mpu4
mating@@-@@bctvidbs@@The Mating Game (Datapak)|NOID|NOCRC|x|0||No Genre|region-unknown|Barcrest|dev-unknown|No Rating|media-unknown|input-unknown|mpu4
matinga@@mating@@mating@@The Mating Game (Standard)|NOID|NOCRC|x|0||No Genre|region-unknown|Barcrest|dev-unknown|No Rating|media-unknown|input-unknown|mpu4
astinvad@@-@@-@@Astro Invader|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Stern|dev-unknown|No Rating|media-unknown|input-unknown|astinvad
kosmokil@@astinvad@@astinvad@@Kosmo Killer|NOID|NOCRC|x|0||No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|astinvad
kamikaze@@astinvad@@astinvad@@Kamikaze|NOID|NOCRC|x|0|1979|No Genre|region-unknown|Leijac|dev-unknown|No Rating|media-unknown|input-unknown|astinvad
spcking2@@-@@-@@Space King 2|NOID|NOCRC|x|0|1979|No Genre|region-unknown|Konami|dev-unknown|No Rating|media-unknown|input-unknown|astinvad
spaceint@@-@@-@@Space Intruder|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Shoei|dev-unknown|No Rating|media-unknown|input-unknown|astinvad
spaceinj@@spaceint@@spaceint@@Space Intruder (Japan)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Shoei|dev-unknown|No Rating|media-unknown|input-unknown|astinvad
spacefb@@-@@-@@Space Firebird (Nintendo)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nintendo|dev-unknown|No Rating|media-unknown|input-unknown|spacefb
spacefbg@@spacefb@@spacefb@@Space Firebird (Gremlin)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Gremlin|dev-unknown|No Rating|media-unknown|input-unknown|spacefb
spacefbb@@spacefb@@spacefb@@Space Firebird (bootleg)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|spacefb
spacebrd@@spacefb@@spacefb@@Space Bird (bootleg)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|spacefb
spacedem@@spacefb@@spacefb@@Space Demon|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Nintendo (Fortrek license)|dev-unknown|No Rating|media-unknown|input-unknown|spacefb
omegrace@@-@@-@@Omega Race|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Midway|dev-unknown|No Rating|media-unknown|input-unknown|omegrace
deltrace@@omegrace@@omegrace@@Delta Race|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Allied Leisure|dev-unknown|No Rating|media-unknown|input-unknown|omegrace
dday@@-@@-@@D-Day|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Olympia|dev-unknown|No Rating|media-unknown|input-unknown|dday
ddayc@@dday@@dday@@D-Day (Centuri)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Olympia (Centuri license)|dev-unknown|No Rating|media-unknown|input-unknown|dday
hexa@@-@@-@@Hexa|NOID|NOCRC|x|0||No Genre|region-unknown|D. R. Korea|dev-unknown|No Rating|media-unknown|input-unknown|hexa
stactics@@-@@-@@Space Tactics|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|stactics
exterm@@-@@-@@Exterminator|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Gottlieb / Premier Technology|dev-unknown|No Rating|media-unknown|input-unknown|exterm
kingofb@@-@@-@@King of Boxer (English)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Woodplace|dev-unknown|No Rating|media-unknown|input-unknown|kingobox
ringking@@kingofb@@kingofb@@Ring King (US set 1)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Data East USA|dev-unknown|No Rating|media-unknown|input-unknown|kingobox
ringkin2@@kingofb@@kingofb@@Ring King (US set 2)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Data East USA|dev-unknown|No Rating|media-unknown|input-unknown|kingobox
ringkin3@@kingofb@@kingofb@@Ring King (US set 3)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Data East USA|dev-unknown|No Rating|media-unknown|input-unknown|kingobox
ringkinw@@kingofb@@kingofb@@Ring King (US, Woodplace license)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Woodplace|dev-unknown|No Rating|media-unknown|input-unknown|kingobox
ambush@@-@@-@@Ambush|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Nippon Amuse Co-Ltd|dev-unknown|No Rating|media-unknown|input-unknown|ambush
ambusht@@ambush@@ambush@@Ambush (Tecfri)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Tecfri|dev-unknown|No Rating|media-unknown|input-unknown|ambush
ambushv@@ambush@@ambush@@Ambush (Volt Elec co-ltd)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Volt Elec co-ltd|dev-unknown|No Rating|media-unknown|input-unknown|ambush
homo@@goindol@@goindol@@Homo|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|goindol
dlair@@-@@-@@Dragon's Lair|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Cinematronics|dev-unknown|No Rating|media-unknown|input-unknown|dlair
aztarac@@-@@-@@Aztarac|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Centuri|dev-unknown|No Rating|media-unknown|input-unknown|aztarac
mole@@-@@-@@Mole Attack|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Yachiyo Electronics, Ltd.|dev-unknown|No Rating|media-unknown|input-unknown|mole
thehand@@-@@-@@The Hand|NOID|NOCRC|x|0|1981|No Genre|region-unknown|T.I.C.|dev-unknown|No Rating|media-unknown|input-unknown|gotya
gotya@@thehand@@thehand@@Got-Ya (12/24/1981, prototype?)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Game-A-Tron|dev-unknown|No Rating|media-unknown|input-unknown|gotya
mrjong@@-@@-@@Mr. Jong (Japan)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Kiwako|dev-unknown|No Rating|media-unknown|input-unknown|mrjong
crazyblk@@mrjong@@mrjong@@Crazy Blocks|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Kiwako (ECI license)|dev-unknown|No Rating|media-unknown|input-unknown|mrjong
blkbustr@@mrjong@@mrjong@@BlockBuster|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Kiwako (ECI license)|dev-unknown|No Rating|media-unknown|input-unknown|mrjong
polyplay@@-@@-@@Poly-Play|NOID|NOCRC|x|0|1985|No Genre|region-unknown|VEB Polytechnik Karl-Marx-Stadt|dev-unknown|No Rating|media-unknown|input-unknown|polyplay
amspdwy@@-@@-@@American Speedway (set 1)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Enerdyne Technologies, Inc.|dev-unknown|No Rating|media-unknown|input-unknown|amspdwy
amspdwya@@amspdwy@@amspdwy@@American Speedway (set 2)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Enerdyne Technologies, Inc.|dev-unknown|No Rating|media-unknown|input-unknown|amspdwy
othldrby@@-@@-@@Othello Derby (Japan)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Sunwise|dev-unknown|No Rating|media-unknown|input-unknown|othldrby
mosaic@@-@@-@@Mosaic|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Space|dev-unknown|No Rating|media-unknown|input-unknown|mosaic
mosaica@@mosaic@@mosaic@@Mosaic (Fuuki)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Space (Fuuki license)|dev-unknown|No Rating|media-unknown|input-unknown|mosaic
gfire2@@-@@-@@Golden Fire II|NOID|NOCRC|x|0|1992|No Genre|region-unknown|Topis Corp|dev-unknown|No Rating|media-unknown|input-unknown|mosaic
tx1@@-@@-@@TX-1|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Tazmi|dev-unknown|No Rating|media-unknown|input-unknown|tx1
tx1a@@-@@-@@TX-1 (Atari/Namco/Taito License)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Tazmi|dev-unknown|No Rating|media-unknown|input-unknown|tx1
buggyboy@@buggyb1@@buggyb1@@Buggy Boy|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Tatsumi|dev-unknown|No Rating|media-unknown|input-unknown|tx1
buggyb1@@-@@-@@Buggy Boy (Single Monitor)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Tatsumi|dev-unknown|No Rating|media-unknown|input-unknown|tx1
sprcros2@@-@@-@@Super Cross 2 (Japan set 1)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|GM Shoji|dev-unknown|No Rating|media-unknown|input-unknown|sprcros2
sprcrs2a@@sprcros2@@sprcros2@@Super Cross 2 (Japan set 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|GM Shoji|dev-unknown|No Rating|media-unknown|input-unknown|sprcros2
gcpinbal@@-@@-@@Grand Cross|NOID|NOCRC|x|0|1994|No Genre|region-unknown|Excellent System|dev-unknown|No Rating|media-unknown|input-unknown|gcpinbal
vmetal@@-@@-@@Varia Metal|NOID|NOCRC|x|0|1995|No Genre|region-unknown|Excellent Systems|dev-unknown|No Rating|media-unknown|input-unknown|vmetal
vmetaln@@vmetal@@vmetal@@Varia Metal (New Ways Trading Co.)|NOID|NOCRC|x|0|1995|No Genre|region-unknown|[Excellent Systems] New Ways Trading Co.|dev-unknown|No Rating|media-unknown|input-unknown|vmetal
